Borough,Borough Divisions
Barking and Dagenham,East
Barnet,North
Bexley,East
Brent,West
Bromley,South
Camden,Central
Croydon,South
Ealing,West
Enfield,North
Greenwich,East
Hackney,East
Hammersmith and Fulham,West
Haringey,North
Harrow,West
Havering,East
Hillingdon,West
Hounslow,West
Islington,Central
Kensington and Chelsea,Central
Kingston upon Thames,South
Lambeth,Central
Lewisham,East
Merton,South
Newham,East
Redbridge,East
Richmond upon Thames,West
Southwark,Central
Sutton,South
Tower Hamlets,East
Waltham Forest,East
Wandsworth,South
Westminster,Central